time_s,miss_maneuver_m,miss_heading_m
1e-05,0,0
0.01001,0.00367481999309534,2.36992970542491
0.0200099999999999,0.0137474188401445,4.27809992677424
0.0300099999999999,0.0289184648416829,5.78037880663842
0.0400100000000001,0.0480485861827713,6.92753036551685
0.0500100000000004,0.0701430506372597,7.76535401417893
0.0600100000000007,0.0943374694114166,8.33507812892891
0.070010000000001,0.119884678025667,8.67374587025716
0.0800100000000013,0.146142738709002,8.81457674714012
0.0900100000000015,0.172563987135345,8.78730180123376
0.100010000000002,0.198685045118288,8.61847308542078
0.110010000000002,0.224117724216502,8.33174883469352
0.120010000000002,0.248540749732516,7.94815590738359
0.130010000000002,0.27169223935004,7.48633107986787
0.140010000000001,0.29336287532322,6.96274272009058
0.15001,0.313389713585718,6.39189428439042
0.160009999999999,0.331650577346409,5.78651099404931
0.170009999999998,0.348058986671569,5.15771095946977
0.180009999999996,0.362559579224606,4.51516193397038
0.190009999999995,0.375123980753741,3.86722479720915
0.200009999999994,0.385747087098197,3.2210847907528
0.210009999999993,0.394443722438382,2.5828714554588
0.220009999999992,0.401245641258901,1.95776815208227
0.230009999999991,0.406198844038742,1.35011198271053
0.24000999999999,0.409361179043628,0.763484871066552
0.250009999999989,0.41080020478366,0.200796504185985
0.260009999999988,0.410591289726864,-0.335640213769329
0.270009999999987,0.408815927736944,-0.844040592972543
0.280009999999985,0.405560249441955,-1.32308591690836
0.290009999999984,0.40091371134935,-1.77186701280323
0.300009999999983,0.394967946011048,-2.18983315621648
0.310009999999982,0.387815757918284,-2.5767458685325
0.320009999999981,0.37955025107799,-2.93263719957238
0.33000999999998,0.370264075397668,-3.25777211863747
0.340009999999979,0.360048780091128,-3.55261466616858
0.350009999999978,0.348994263319449,-3.81779754500242
0.360009999999977,0.337188308206086,-4.05409485507328
0.370009999999976,0.324716196217843,-4.26239769847433
0.380009999999974,0.311660389689597,-4.44369240318291
0.390009999999973,0.298100275995051,-4.59904113358356
0.400009999999972,0.28411196653299,-4.72956467429882
0.410009999999971,0.269768144312662,-4.83642719086161
0.42000999999997,0.255137954486884,-4.92082278652972
0.430009999999969,0.240286932701039,-4.98396368913836
0.440009999999968,0.225276966603538,-5.02706991539523
0.450009999999967,0.210166286301776,-5.05136027251852
0.460009999999966,0.195009479950062,-5.05804456867508
0.470009999999965,0.179857531025095,-5.04831691435841
0.480009999999963,0.164757874182894,-5.02335000671778
0.490009999999962,0.149754466900957,-4.98429029796754
0.500009999999961,0.13488787439302,-4.93225395742393
0.51000999999996,0.120195365543137,-4.8683235444857
0.520009999999959,0.105711017842798,-4.79354531704123
0.530009999999958,0.0914658295311083,-4.70892710639249
0.540009999999957,0.0774878373354055,-4.6154366958754
0.550009999999956,0.0638022383894605,-4.51400064596512
0.560009999999955,0.0504315150700889,-4.40550351381825
0.570009999999954,0.0373955616417821,-4.29078741995521
0.580009999999953,0.0247118117341256,-4.17065191915518
0.590009999999951,0.0123953657993437,-4.04585413665097
0.60000999999995,0.000459117808356979,-3.91710913439998
0.610009999999949,-0.0110861194558185,-3.7850904755919
0.620009999999948,-0.0222314910577778,-3.65043095865952
0.630009999999947,-0.0329699789911783,-3.51372349490508
0.640009999999946,-0.0432962840769385,-3.37552210646157
0.650009999999945,-0.0532067110070255,-3.23634302369494
0.660009999999944,-0.06269905680336,-3.09666586333442
0.670009999999943,-0.0717725029083028,-2.95693487061296
0.680009999999941,-0.0804275110758439,-2.81756021051896
